text,intent,response
hey,greeting,"Hey, what's up?"
hey,greeting,"Yo, how re you?"
hey,greeting,Hi boss.
Hello friend,greeting,"Hi, amori. I miss you"
"Hello, what s up?",greeting,Hey buddy.
Hello,greeting,Hi
Yo,greeting,"Yo, yo bro"
Hi,greeting,Hello my friend!!
Hi,greeting,"hey, bro . How are you?"
Hello,greeting,Hello! How can I help you?
hi,greeting,Hi there! Nice to meet you!
hello friend,greeting,"Hi, amori. I miss you"
good morning,greeting,Good morning! Have a great day!
good afternoon,greeting,Good afternoon! How are you?
good evening,greeting,Good evening! Nice to see you!
whats up,greeting,Not much! What's up with you?
hey there,greeting,Hey there! How can I help?
how's it going,greeting,Going great! How about you?
sup,greeting,Sup! What's going on?
long time no see,greeting,It has been a while! Good to see you!
pleasure to meet you,greeting,The pleasure is all mine!
Hi,greeting,"Hi, how are you?"
bye,goodbye,Goodbye! Have a wonderful day!
goodbye,goodbye,See you later! Take care!
see you,goodbye,Catch you later!
see you later,goodbye,See you later! Stay awesome!
talk to you later,goodbye,Talk soon! Bye!
bye bye,goodbye,Bye bye! Take care of yourself!
catch you later,goodbye,Catch you later! Have a good one!
see ya,goodbye,See ya! Nice chatting with you!
see you,goodbye,Later! Have a great day!
peace,goodbye,Peace out! ✌️
take care,goodbye,You too! Take care! 😊
have a good day,goodbye,Have a great day! Bye!
have a nice day,goodbye,You have a nice day too! Bye!
until next time,goodbye,Until next time! 👋
gotta go,goodbye,Okay! Talk to you later!
need to go,goodbye,Okay! Talk to you later! bye
i'm leaving,goodbye,Leaving already? Bye then!
see you soon,goodbye,See you soon! Can't wait!
good night,goodbye,good night! sleep well!
night,goodbye,good night! sweet dreams
ciao,goodbye,Until we meet again!
adios,goodbye,adios! take care!
cya,goodbye,"cya, bye"
"ok, bye",goodbye,see you
thank you,thanks,You're welcome! Happy to help!
thanks,thanks,My pleasure! Anytime!
thanks a lot,thanks,You're welcome!
thank you very much,thanks,Anytime! I'm here for you!
thanks so much,thanks,No problem at all!
appreciate it,thanks,Glad I could help!
